Source,URL,Neighborhood,District,Zone,Price_USD,Area_SQM,Price_Per_SQM,Scraped_Date
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-jnah-cpbhs16-ID116896128.html,Jnah,Beirut,Saifeh,650000.0,280.0,2321.4,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-250m2-prime-location-furnished-upgraded-catch-tyt-ID117030163.html,Unknown,Unknown,Unknown,385000.0,250.0,1540.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/hot-deal-luxurious-triplex-villa-for-sale-in-rabieh-wa-ID117027453.html,Rabieh,El Meten,El Meten,3200000.0,1000.0,3200.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/spacious-apartment-with-panoramic-mountain-views-for-sale-in-beit-me-ID116996035.html,Beit Mery,El Meten,El Meten,330000.0,190.0,1736.8,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ajaltoun-240m2-house-prime-location-excellent-condition-tt-ID116542486.html,Unknown,Unknown,Unknown,350000.0,240.0,1458.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/ballouneh-200m2-50m2-garden-furnished-upgraded-view-catchbg-ID116495435.html,Unknown,Unknown,Unknown,320000.0,200.0,1600.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/3-beds-open-view-broummana-prime-balconies-chimney-br-409-ID117010468.html,Broummana,El Meten,El Meten,299000.0,200.0,1495.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/apartment-for-sale-in-blat-jbeil-ID117022549.html,Blat,Jbeil,Jbeil,85000.0,120.0,708.3,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/detached-apartment-for-sale-in-maska-%D9%85%D9%86%D8%B2%D9%84-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B3%D9%82%D9%89-%D8%A8%D8%B1%D9%85%D8%A7%D9%86%D8%A7-ID116974842.html,Masqa and Ghabe,El Meten,El Meten,175000.0,175.0,1000.0,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/jeita-180m2-panoramic-view-luxury-calm-area-prime-location-el-ID116324950.html,Unknown,Unknown,Unknown,200000.0,180.0,1111.1,2026-08-23 06:20
Dubizzle,https://www.olx.com.lb/ad/jeita-230m2-100m2-terrace-calm-street-furnished-catch-to-ID115922489.html,Unknown,Unknown,Unknown,245000.0,230.0,1065.2,2026-08-23 06:20
