Zone,Mean_Price_USD,Mean_Area_SQM,Mean_Price_Per_SQM,Total_Listings,Dubizzle_Count,FB_Count
Achrafieh,591241.4,199.4,2974.7,58,56,2
Ain el-Mreisseh,1056000.0,295.0,3249.6,2,1,1
Aley,600313.0,312.3,1271.5,23,23,0
Baabda,598856.2,311.0,1881.5,146,144,2
Beirut Central District,1350000.0,363.3,3574.0,3,3,0
Beirut-Other,363538.5,196.8,1653.7,13,13,0
El Batroun,209916.7,163.1,1310.9,24,23,1
El Koura,213666.7,210.2,1006.2,6,6,0
El Meten,407184.9,242.9,1595.5,430,427,3
Jbeil,211524.6,186.3,1131.0,61,61,0
Kesrwane,200000.0,100.0,2000.0,1,0,1
Mazraa,360714.3,168.0,2089.1,14,13,1
Moussaytbeh,767056.8,259.3,2870.0,44,42,2
Ras Beyrouth,761694.4,236.3,3166.7,36,34,2
Remeil,374444.4,119.1,3302.8,9,8,1
Saida,90000.0,100.0,900.0,1,0,1
Saifeh,743750.0,265.5,2794.6,16,14,2
Sour,70000.0,80.0,875.0,1,0,1
Tripoli,150000.0,185.0,836.0,2,1,1
Unknown,298935.0,217.8,1389.8,184,184,0
Zahle,109000.0,120.6,898.6,5,4,1
